id,text,exact_label,label,tokens,lemmas,upos
2172,"If I thought you would have an intelligent debate, i would contribute, but that is obviously not possible.",Acceptable speech,0,"If I thought you would have an intelligent debate , i would contribute , but that is obviously not possible .","if I think you would have a intelligent debate , i would contribute , but that be obviously not possible .",SCONJ PRON VERB PRON AUX VERB DET ADJ NOUN PUNCT PRON AUX VERB PUNCT CCONJ PRON AUX ADV PART ADJ PUNCT
3658,"People talk about the creation of men and women but you forget about hermaphrodites, or has science now become convenient?",Acceptable speech,0,"People talk about the creation of men and women but you forget about hermaphrodites , or has science now become convenient ?","people talk about the creation of man and woman but you forget about hermaphrodite , or have science now become convenient ?",NOUN VERB ADP DET NOUN ADP NOUN CCONJ NOUN CCONJ PRON VERB ADP NOUN PUNCT CCONJ AUX NOUN ADV VERB ADJ PUNCT
2822113961181667,"I think same for both sides - whether you vote Yes or No, its everyones right to have their say, and cast their vote as such, no explanation to anyone is required, all this protesting for and against is just causing a rift in the community, we have enough going on in the world without arguing about this, just go about your business, and send your vote in, don't vote if you dont' want to choose, its also your right",Acceptable speech,0,"I think same for both sides - whether you vote Yes or No , it s everyones right to have their say , and cast their vote as such , no explanation to anyone is required , all this protesting for and against is just causing a rift in the community , we have enough going on in the world without arguing about this , just go about your business , and send your vote in , do n't vote if you do nt ' want to choose , it s also your right","I think same for both side - whether you vote yes or no , it be everyones right to have they say , and cast they vote as such , no explanation to anyone be require , all this protest for and against be just cause a rift in the community , we have enough go on in the world without argue about this , just go about you business , and send you vote in , do not vote if you do not ' want to choose , it be also you right",PRON VERB ADJ ADP DET NOUN PUNCT SCONJ PRON VERB INTJ CCONJ INTJ PUNCT PRON AUX ADV ADJ PART VERB PRON NOUN PUNCT CCONJ VERB PRON NOUN ADP ADJ PUNCT DET NOUN ADP PRON AUX VERB PUNCT DET DET NOUN ADP CCONJ ADP AUX ADV VERB DET NOUN ADP DET NOUN PUNCT PRON VERB ADV VERB ADV ADP DET NOUN SCONJ VERB ADP PRON PUNCT ADV VERB ADP PRON NOUN PUNCT CCONJ VERB PRON NOUN ADV PUNCT AUX PART VERB SCONJ PRON AUX PART PUNCT VERB PART VERB PUNCT PRON AUX ADV PRON NOUN
2822133224513074,"Definitrly both side. I simply stated on a post that ""i voted yes,but stop pushing your view on others,it wont change minds""....3 threats and the typical ""f#g lover"" type commnts. Both ""sides"" are equally bad.",Acceptable speech,0,"Definitrly both side . I simply stated on a post that "" i voted yes , but stop pushing your view on others , it wont change minds "" .... 3 threats and the typical "" f#g lover "" type commnts . Both "" sides "" are equally bad .","definitrly both side . I simply state on a post that "" i vote yes , but stop push you view on other , it wont change mind "" .... 3 threat and the typical "" f#g lover "" type commnt . both "" side "" be equally bad .",ADV DET NOUN PUNCT PRON ADV VERB ADP DET NOUN SCONJ PUNCT PRON VERB INTJ PUNCT CCONJ VERB VERB PRON NOUN ADP NOUN PUNCT PRON AUX VERB NOUN PUNCT PUNCT NUM NOUN CCONJ DET ADJ PUNCT NOUN NOUN PUNCT NOUN NOUN PUNCT DET PUNCT NOUN PUNCT AUX ADV ADJ PUNCT
2822133594513037,Agree,Acceptable speech,0,Agree,Agree,VERB
2822230314503365,Agree too,Acceptable speech,0,Agree too,Agree too,VERB ADV
2822421241150939,The left has no respect for Democratic process. It is their way only. If you object they would just as soon have you dead.,Other offensive,1,The left has no respect for Democratic process . It is their way only . If you object they would just as soon have you dead .,the left have no respect for democratic process . it be they way only . if you object they would just as soon have you dead .,DET NOUN VERB DET NOUN ADP ADJ NOUN PUNCT PRON AUX PRON NOUN ADV PUNCT SCONJ PRON VERB PRON AUX ADV ADV ADV VERB PRON ADJ PUNCT
2823524624373934,The problem is it shouldn't be a democratic process for giving someone equal rights.,Acceptable speech,0,The problem is it should n't be a democratic process for giving someone equal rights .,the problem be it should not be a democratic process for give someone equal rights .,DET NOUN VERB PRON AUX PART AUX DET ADJ NOUN SCONJ VERB PRON ADJ NOUN PUNCT
2822081751184888,Is it because pro gay people are becoming the majority? I'm wondering where all this surge of violence on the left is coming from. Its making liberals look as bad as those crazy alt righters,Other offensive,1,Is it because pro gay people are becoming the majority ? I 'm wondering where all this surge of violence on the left is coming from . It s making liberals look as bad as those crazy alt righters,be it because pro gay people be become the majority ? I be wonder where all this surge of violence on the left be come from . it be make liberal look as bad as those crazy alt righters,AUX PRON SCONJ ADJ ADJ NOUN AUX VERB DET NOUN PUNCT PRON AUX VERB ADV DET DET NOUN ADP NOUN ADP DET NOUN AUX VERB ADP PUNCT PRON AUX VERB NOUN VERB ADV ADV ADP DET ADJ NOUN NOUN
2822114701181593,"""I wonder why marginalised people are reacting this way"" yeah me too",Acceptable speech,0,""" I wonder why marginalised people are reacting this way "" yeah me too",""" I wonder why marginalise people be react this way "" yeah I too",PUNCT PRON VERB ADV VERB NOUN AUX VERB DET NOUN PUNCT INTJ PRON ADV
2822121177847612,"No,  how could they be the majority when they don't even 10% of your population. You have been doped all the time....their PR is good..in painting the big picture...allowing for fomenting...words can become reality for some...",Acceptable speech,0,"No , how could they be the majority when they do n't even 10 % of your population . You have been doped all the time .... their PR is good .. in painting the big picture ... allowing for fomenting ... words can become reality for some ...","no , how could they be the majority when they do not even 10 % of you population . you have be dope all the time .... they pr be good .. in painting the big picture ... allow for foment ... word can become reality for some ...",INTJ PUNCT ADV AUX PRON AUX DET NOUN ADV PRON AUX PART ADV NUM SYM ADP PRON NOUN PUNCT PRON AUX AUX VERB DET DET NOUN PUNCT PRON NOUN AUX ADJ PUNCT SCONJ VERB DET ADJ NOUN PUNCT VERB ADP NOUN PUNCT NOUN AUX VERB NOUN ADP DET PUNCT
2822152571177806,Wondering where all this violence from the left is coming from LOL...you should pull your head out of the sand more often.,Other offensive,1,Wondering where all this violence from the left is coming from LOL ... you should pull your head out of the sand more often .,wonder where all this violence from the left be come from lol ... you should pull you head out of the sand more often .,VERB ADV DET DET NOUN ADP DET NOUN AUX VERB ADP INTJ PUNCT PRON AUX VERB PRON NOUN ADP ADP DET NOUN ADV ADV PUNCT
2822220167837713,"The left have always been the loopy ones, as I'm sure you're quite aware, nothing but a bait comment.",Other offensive,1,"The left have always been the loopy ones , as I 'm sure you 're quite aware , nothing but a bait comment .","the left have always be the loopy one , as I be sure you be quite aware , nothing but a bait comment .",DET NOUN AUX ADV AUX DET ADJ NOUN PUNCT SCONJ PRON AUX ADJ PRON AUX ADV ADJ PUNCT PRON CCONJ DET NOUN NOUN PUNCT
2822239687835761,Alan McCormack I'm on the planet where gay people are marginalised. What planet is it YOU'RE on?,Other offensive,1,Alan McCormack I 'm on the planet where gay people are marginalised . What planet is it YOU 'RE on ?,Alan McCormack I be on the planet where gay people be marginalise . what planet be it you be on ?,PROPN PROPN PRON AUX ADP DET NOUN ADV ADJ NOUN AUX VERB PUNCT DET NOUN AUX PRON PRON AUX ADP PUNCT
2822386461154417,"Maybe it's something to do with the vile campaign of abuse run by the 'No' campaigners. Calling people child abusers, lying about what is going to happen if the Equal marriage is achieved.  Most civilised people are disgusted at the things which are big said.  A shame and ironic that the Catholic Church in Australia can be allied to such people considering the issue they've had with child abuse.",Acceptable speech,0,"Maybe it 's something to do with the vile campaign of abuse run by the ' No ' campaigners . Calling people child abusers , lying about what is going to happen if the Equal marriage is achieved . Most civilised people are disgusted at the things which are big said . A shame and ironic that the Catholic Church in Australia can be allied to such people considering the issue they 've had with child abuse .","maybe it be something to do with the vile campaign of abuse run by the ' no ' campaigner . call people child abuser , lie about what be go to happen if the Equal marriage be achieve . most civilised people be disgust at the thing which be big say . a shame and ironic that the Catholic Church in Australia can be ally to such people consider the issue they have have with child abuse .",ADV PRON AUX PRON PART VERB ADP DET ADJ NOUN ADP NOUN VERB ADP DET PUNCT DET PUNCT NOUN PUNCT VERB NOUN NOUN NOUN PUNCT VERB SCONJ PRON AUX VERB PART VERB SCONJ DET ADJ NOUN AUX VERB PUNCT ADV ADJ NOUN AUX VERB ADP DET NOUN PRON AUX ADJ VERB PUNCT DET NOUN CCONJ ADJ SCONJ DET PROPN PROPN ADP PROPN AUX AUX VERB ADP ADJ NOUN VERB DET NOUN PRON AUX VERB ADP NOUN NOUN PUNCT
2823750061018057,Tel Martin you need to remove the milk bottle glasses and have a close look at the rainbow trains,Acceptable speech,0,Tel Martin you need to remove the milk bottle glasses and have a close look at the rainbow trains,tel Martin you need to remove the milk bottle glass and have a close look at the rainbow train,PROPN PROPN PRON VERB PART VERB DET NOUN NOUN NOUN CCONJ VERB DET ADJ NOUN ADP DET NOUN NOUN
2824209464305450,Left? This has nothing to do with right or left. I vote right but support SSM cause it's logically the right vote. Why stop someone marrying who they love?,Acceptable speech,0,Left ? This has nothing to do with right or left . I vote right but support SSM cause it 's logically the right vote . Why stop someone marrying who they love ?,leave ? this have nothing to do with right or leave . I vote right but support ssm cause it be logically the right vote . why stop someone marrying who they love ?,VERB PUNCT PRON VERB PRON PART VERB ADP NOUN CCONJ VERB PUNCT PRON VERB ADV CCONJ VERB PROPN SCONJ PRON AUX ADV DET ADJ NOUN PUNCT ADV VERB PRON VERB PRON PRON VERB PUNCT
2825634900829573,"Suzanne Leong yeah you're right sometimes I forget how the rest of the country is, I live in the Bay Area",Acceptable speech,0,"Suzanne Leong yeah you 're right sometimes I forget how the rest of the country is , I live in the Bay Area","Suzanne Leong yeah you be right sometimes I forget how the rest of the country be , I live in the Bay Area",PROPN PROPN INTJ PRON AUX ADJ ADV PRON VERB ADV DET NOUN ADP DET NOUN VERB PUNCT PRON VERB ADP DET PROPN PROPN
2822193087840421,"I don't care what the government or gays say. Gay marriage is perverted. It makes no sense scientifically and if the world was gay, humanity will be extinct. I applaud those who stand against it. I don't hate gays as humans, but i disagree with their way of life and I am allowed to do so. It is man and woman not the other way around.",Background offensive,1,"I do n't care what the government or gays say . Gay marriage is perverted . It makes no sense scientifically and if the world was gay , humanity will be extinct . I applaud those who stand against it . I do n't hate gays as humans , but i disagree with their way of life and I am allowed to do so . It is man and woman not the other way around .","I do not care what the government or gays say . Gay marriage be pervert . it make no sense scientifically and if the world be gay , humanity will be extinct . I applaud those who stand against it . I do not hate gays as human , but i disagree with they way of life and I be allow to do so . it be man and woman not the other way around .",PRON AUX PART VERB PRON DET NOUN CCONJ NOUN VERB PUNCT ADJ NOUN AUX VERB PUNCT PRON VERB DET NOUN ADV CCONJ SCONJ DET NOUN AUX ADJ PUNCT NOUN AUX AUX ADJ PUNCT PRON VERB PRON PRON VERB ADP PRON PUNCT PRON AUX PART VERB NOUN ADP NOUN PUNCT CCONJ PRON VERB ADP PRON NOUN ADP NOUN CCONJ PRON AUX VERB PART VERB ADV PUNCT PRON AUX NOUN CCONJ NOUN ADV DET ADJ NOUN ADV PUNCT
2822238277835902,So it's all about sex?,Acceptable speech,0,So it 's all about sex ?,so it be all about sex ?,ADV PRON AUX ADV ADP NOUN PUNCT
2822242744502122,Kate Sprigings Will they not have sex? How long did it take you before you slept with your partner? I am guessing without sex he won't be with you if he has not left you already. Don't make a dumb argument my dear. Those kids you have won't be here if everyone was gay. You cannot change nature's order because of your perverse feelings.,Background offensive,1,Kate Sprigings Will they not have sex ? How long did it take you before you slept with your partner ? I am guessing without sex he wo n't be with you if he has not left you already . Do n't make a dumb argument my dear . Those kids you have wo n't be here if everyone was gay . You can not change nature 's order because of your perverse feelings .,kate spriging will they not have sex ? how long do it take you before you sleep with you partner ? I be gue without sex he will not be with you if he have not leave you already . do not make a dumb argument my dear . those kid you have will not be here if everyone be gay . you can not change nature 's order because of you perverse feeling .,PROPN PROPN AUX PRON PART VERB NOUN PUNCT ADV ADV AUX PRON VERB PRON SCONJ PRON VERB ADP PRON NOUN PUNCT PRON AUX VERB ADP NOUN PRON AUX PART AUX ADP PRON SCONJ PRON AUX PART VERB PRON ADV PUNCT AUX PART VERB DET ADJ NOUN PRON ADJ PUNCT DET NOUN PRON AUX AUX PART AUX ADV SCONJ PRON AUX ADJ PUNCT PRON AUX PART VERB NOUN PART NOUN ADP ADP PRON ADJ NOUN PUNCT
2822243767835353,I disagree with your views and I'm allowed to do so but that doesn't mean that I should stop you from living your life or marrying whomever you want,Acceptable speech,0,I disagree with your views and I 'm allowed to do so but that does n't mean that I should stop you from living your life or marrying whomever you want,I disagree with you view and I be allow to do so but that do not mean that I should stop you from live you life or marrying whomever you want,PRON VERB ADP PRON NOUN CCONJ PRON AUX VERB PART VERB ADV CCONJ PRON AUX PART VERB SCONJ PRON AUX VERB PRON SCONJ VERB PRON NOUN CCONJ VERB PRON PRON VERB
2822285197831210,Carolina Fesser ur disgusting,Other offensive,1,Carolina Fesser ur disgusting,Carolina Fesser you disgusting,PROPN PROPN PART ADJ
2822287227831007,Manny Mendoza Why? Cos I don't agree with gay marriage? Wow! Thank you for showing your love today. I hope you're proud of yourself :D,Acceptable speech,0,Manny Mendoza Why ? Cos I do n't agree with gay marriage ? Wow ! Thank you for showing your love today . I hope you 're proud of yourself : D,Manny Mendoza why ? cos I do not agree with gay marriage ? wow ! thank you for show you love today . I hope you be proud of yourself : D,PROPN PROPN ADV PUNCT INTJ PRON AUX PART VERB ADP ADJ NOUN PUNCT INTJ PUNCT VERB PRON SCONJ VERB PRON NOUN NOUN PUNCT PRON VERB PRON AUX ADJ ADP PRON PUNCT PROPN
2822449217814808,Its been around since ancient greek times thats how old homosexuality is. And the world hasn't been extinct because of it.,Acceptable speech,0,Its been around since ancient greek times that s how old homosexuality is . And the world has n't been extinct because of it .,its be around since ancient greek time that be how old homosexuality be . and the world have not be extinct because of it .,PRON AUX ADV ADP ADJ ADJ NOUN PRON AUX ADV ADJ NOUN AUX PUNCT CCONJ DET NOUN AUX PART AUX ADJ ADP ADP PRON PUNCT
2822561481136915,Carolina Fesser Manny has trolled & harassed everyone on here who's opinion is different to his,Acceptable speech,0,Carolina Fesser Manny has trolled & harassed everyone on here who 's opinion is different to his,Carolina Fesser Manny have troll & harass everyone on here who 's opinion be different to he,PROPN PROPN PROPN AUX VERB CCONJ VERB PRON ADP ADV PRON PART NOUN AUX ADJ ADP PRON
2822616381131425,@Manny DozMen you're disgusting!!,Other offensive,1,@ Manny Doz Men you 're disgusting !!,@ Manny Doz Men you be disgusting !!,SYM PROPN PROPN NOUN PRON AUX ADJ PUNCT
